epoch,accuracy,loss,val_accuracy,val_loss
0,0.42014944553375244,1.306672215461731,0.530259370803833,1.0982791185379028
1,0.6025463342666626,0.9640132784843445,0.5561959743499756,1.1549842357635498
2,0.6736783981323242,0.8210111856460571,0.5561959743499756,1.1224547624588013
3,0.6996955275535583,0.746993899345398,0.5965417623519897,1.1011213064193726
4,0.7475782036781311,0.6308602094650269,0.619596540927887,1.079792857170105
5,0.7846664786338806,0.5663097500801086,0.6253602504730225,1.0418874025344849
6,0.8023802638053894,0.5106992125511169,0.590778112411499,1.1776412725448608
7,0.8361472487449646,0.4374818503856659,0.6023054718971252,1.27897310256958
8,0.8494325876235962,0.39596638083457947,0.6023054718971252,1.1979570388793945
9,0.8826460242271423,0.32905077934265137,0.5965417623519897,1.3883260488510132
10,0.871574878692627,0.3460374176502228,0.5936599373817444,1.409363031387329
11,0.9072792530059814,0.25705018639564514,0.6109510064125061,1.5149987936019897
12,0.9081096053123474,0.2637028396129608,0.6051872968673706,1.409490704536438
13,0.9075560569763184,0.24813728034496307,0.5821325778961182,1.6112356185913086
14,0.9305286407470703,0.20066794753074646,0.5936599373817444,1.7326172590255737
15,0.9352338910102844,0.18744240701198578,0.5965417623519897,1.7057002782821655
16,0.9432604312896729,0.16783250868320465,0.5936599373817444,1.8662117719650269
17,0.9496263265609741,0.14757584035396576,0.5965417623519897,1.6857243776321411
18,0.9446443319320679,0.1583571583032608,0.5994236469268799,1.9672645330429077
19,0.9451978802680969,0.1473621279001236,0.5965417623519897,2.0782887935638428
20,0.9615278244018555,0.11404778063297272,0.6051872968673706,2.1565334796905518
21,0.9590368270874023,0.12020698934793472,0.6051872968673706,2.0806498527526855
22,0.9590368270874023,0.11630755662918091,0.5965417623519897,2.0129246711730957
23,0.9654027223587036,0.09625814110040665,0.590778112411499,2.4687745571136475
24,0.9380016326904297,0.17957960069179535,0.5619596838951111,1.9821743965148926
