epoch,accuracy,loss,val_accuracy,val_loss
0,0.3670080304145813,1.330897569656372,0.43515849113464355,1.2937052249908447
1,0.6363133192062378,1.0135771036148071,0.6541786789894104,0.9719785451889038
2,0.7893717288970947,0.6007194519042969,0.6858789920806885,0.8005008697509766
3,0.8494325876235962,0.41721096634864807,0.6916426420211792,0.7797488570213318
4,0.8876280188560486,0.32482147216796875,0.680115282535553,0.8163894414901733
5,0.9097702503204346,0.26626166701316833,0.680115282535553,0.8813412189483643
6,0.9285911917686462,0.21895208954811096,0.6858789920806885,0.892991304397583
7,0.9429836869239807,0.18310892581939697,0.6887608170509338,0.9472922086715698
8,0.952117383480072,0.15433208644390106,0.6858789920806885,0.9641823172569275
9,0.9579296708106995,0.14013180136680603,0.6714697480201721,1.0752532482147217
10,0.9645723700523376,0.12168533354997635,0.6743515729904175,1.0743333101272583
11,0.9651259183883667,0.11659519374370575,0.6743515729904175,1.1558427810668945
12,0.9676169157028198,0.10521749407052994,0.6858789920806885,1.211172103881836
13,0.9723221659660339,0.09594928473234177,0.6772334575653076,1.232950210571289
14,0.9723221659660339,0.08978242427110672,0.6714697480201721,1.3180198669433594
15,0.973429262638092,0.08422742038965225,0.6714697480201721,1.34236478805542
16,0.9739828109741211,0.07933837920427322,0.6685879230499268,1.357395052909851
17,0.976473867893219,0.07608594000339508,0.6743515729904175,1.4010350704193115
18,0.975089967250824,0.07581085711717606,0.680115282535553,1.3933542966842651
19,0.975643515586853,0.06779845058917999,0.6714697480201721,1.4276608228683472
20,0.9767506122589111,0.0675010085105896,0.6570605039596558,1.5291171073913574
21,0.9775809645652771,0.06915150582790375,0.6685879230499268,1.515687108039856
22,0.9792416095733643,0.05900784209370613,0.6829971075057983,1.5498135089874268
23,0.9792416095733643,0.06361843645572662,0.6743515729904175,1.535102128982544
24,0.9773041605949402,0.06627576053142548,0.6743515729904175,1.6242009401321411
